omb_cat,name,year,corp,indv,total,gdp,gdp_price_index,corp_adj,indv_adj,total_adj,percent_corp,percent_gdp,percent_indv,percent_omb_cat,percent_total,percent_change,orig_name
"General Science, Space, And Technology",Expensing Of Research And Experimentation Expenditures,1975,635000000.0,,635000000.0,1610600000000.0,0.2760350173262813,2300432772,,2300432772,3.17,0.04,,100.00,0.81,-4.85,Expensing Of Research And Development Expenditures
Community And Regional Development,Five-Year Amortization For Housing Rehabilitation,1975,40000000.0,65000000.0,105000000.0,1610600000000.0,0.2760350173262813,144909151,235477370,380386521,0.20,0.01,0.11,100.00,0.13,11.98,Housing Rehabilitation: 5-Year Amortization
Natural Resources And Environment,Five-Year Amortization On Pollution Control Facilities,1975,30000000.0,,30000000.0,1610600000000.0,0.2760350173262813,108681863,,108681863,0.15,0.00,,8.70,0.04,-22.30,Pollution Control: 5-Year Amortization
Transportation,Five-Year Amortization On Railroad Rolling Stock,1975,55000000.0,,55000000.0,1610600000000.0,0.2760350173262813,199250083,,199250083,0.27,0.00,,5.82,0.07,-28.77,Railroad Rolling Stock: 5-Year Amortization
Income Security,Income Of Trusts To Finance Supplementary Unemployment Benefits,1975,,5000000.0,5000000.0,1610600000000.0,0.2760350173262813,,18113644,18113644,,0.00,0.01,0.04,0.01,-9.35, 
Commerce And Housing,Investment Credit,1975,4860000000.0,950000000.0,5810000000.0,1610600000000.0,0.2760350173262813,17606461843,3441592336,21048054179,24.29,0.36,1.62,16.13,7.38,15.25, 
"Education, Training, Employment, And Social Services",Maximum Tax On Personal Service Income,1975,,160000000.0,160000000.0,1610600000000.0,0.2760350173262813,,579636604,579636604,,0.01,0.27,2.28,0.20,,Maximum Tax On Earned Income
Income Security,Net Exclusion Of Pension Contributions And Earnings: Employer Plans,1975,,5225000000.0,5225000000.0,1610600000000.0,0.2760350173262813,,18928757846,18928757846,,0.32,8.90,40.57,6.64,-1.12, 
Income Security,Net Exclusion Of Pension Contributions And Earnings: Self-Employed Plans,1975,,390000000.0,390000000.0,1610600000000.0,0.2760350173262813,,1412864222,1412864222,,0.02,0.66,3.03,0.50,53.71,Net Exclusion Of Pension Contributions And Earnings: Plans For Self-Employed And Others
"Education, Training, Employment, And Social Services",Parental Personal Exemption For Students Age 19 Or Over,1975,,670000000.0,670000000.0,1610600000000.0,0.2760350173262813,,2427228279,2427228279,,0.04,1.14,9.54,0.85,-7.27, 
Income Security,Retirement Income Credit And Credit For The Elderly,1975,,130000000.0,130000000.0,1610600000000.0,0.2760350173262813,,470954741,470954741,,0.01,0.22,1.01,0.17,17.85,Retirement Income Credit
International Affairs,Special Rate For Western Hemisphere Trade Corporations,1975,50000000.0,,50000000.0,1610600000000.0,0.2760350173262813,181136439,,181136439,0.25,0.00,,3.66,0.06,-9.35, 
Commerce And Housing,Surtax Exemption (Through 1978),1975,3345000000.0,,3345000000.0,1610600000000.0,0.2760350173262813,12118027750,,12118027750,16.72,0.21,,9.29,4.25,-7.27,Corporate Surtax Exemption
Income Security,Additional Exemption For Elderly,1976,,1145000000.0,1145000000.0,1790300000000.0,0.2951851176363305,,3878921841,3878921841,,0.06,1.58,6.85,1.20,-2.66,Additional  Exemption For Over 65
Income Security,Additional Exemption For The Blind,1976,,20000000.0,20000000.0,1790300000000.0,0.2951851176363305,,67754093,67754093,,0.00,0.03,0.12,0.02,-6.49, 
Commerce And Housing,"Capital Gains (Except Agriculture, Timber, Iron Ore, And Coal)",1976,545000000.0,7320000000.0,7865000000.0,1790300000000.0,0.2951851176363305,1846299042,24797998146,26644297189,2.38,0.44,10.11,17.11,8.25,958.24,Capital Gain: Individual (Other Than Farming And Timber)
Agriculture,Capital Gains Treatment Of Certain Income,1976,10000000.0,315000000.0,325000000.0,1790300000000.0,0.2951851176363305,33877047,1067126969,1101004016,0.04,0.02,0.43,29.02,0.34,-37.34, 
Natural Resources And Environment,Capital Gains Treatment Of Certain Timber Income,1976,290000000.0,95000000.0,385000000.0,1790300000000.0,0.2951851176363305,982434353,321831943,1304266296,1.26,0.02,0.13,69.37,0.40,75.62, 
Energy,Capital Gains Treatment Of Royalties On Coal,1976,15000000.0,40000000.0,55000000.0,1790300000000.0,0.2951851176363305,50815570,135508187,186323757,0.07,0.00,0.06,2.56,0.06,2.86, 
"Education, Training, Employment, And Social Services",Credit For Child And Dependent Care Expenses,1976,,290000000.0,290000000.0,1790300000000.0,0.2951851176363305,,982434353,982434353,,0.02,0.40,3.83,0.30,-8.07,Deductibility Of And Credit For Child And Dependent Care Expenses
General Purpose Fiscal Assistance,Credit For Corporations In Us Possessions,1976,240000000.0,,240000000.0,1790300000000.0,0.2951851176363305,813049120,,813049120,1.05,0.01,,5.21,0.25,-8.40, 
"Education, Training, Employment, And Social Services",Credit For Employment Of Afdc Recipients And Public Assistance Recipients Under Work Incentive Programs,1976,10000000.0,,10000000.0,1790300000000.0,0.2951851176363305,33877047,,33877047,0.04,0.00,,0.13,0.01,-6.49,Credit For Employing Afdc And Public Assistance Recipients
Commerce And Housing,Credit For Purchase Of New Home,1976,,650000000.0,650000000.0,1790300000000.0,0.2951851176363305,,2202008032,2202008032,,0.04,0.90,1.41,0.68,, 
General Government,Credits And Deductions For Political Contributions,1976,,35000000.0,35000000.0,1790300000000.0,0.2951851176363305,,118569663,118569663,,0.00,0.05,100.00,0.04,-18.18, 
Income Security,Deductibility Of Casualty Losses,1976,,310000000.0,310000000.0,1790300000000.0,0.2951851176363305,,1050188446,1050188446,,0.02,0.43,1.85,0.33,3.53, 
"Education, Training, Employment, And Social Services",Deductibility Of Charitable Contributions (Education),1976,190000000.0,510000000.0,700000000.0,1790300000000.0,0.2951851176363305,643663886,1727729379,2371393265,0.83,0.04,0.70,9.25,0.73,1.49,Deductibility Of Contributions To Educational Institutions
"Education, Training, Employment, And Social Services",Deductibility Of Charitable Contributions (Other Than Education),1976,350000000.0,4360000000.0,4710000000.0,1790300000000.0,0.2951851176363305,1185696633,14770392339,15956088971,1.53,0.26,6.02,62.26,4.94,-7.66, 
Commerce And Housing,Deductibility Of Interest On Consumer Credit,1976,,2105000000.0,2105000000.0,1790300000000.0,0.2951851176363305,,7131118319,7131118319,,0.12,2.91,4.58,2.21,66.11, 
Health,Deductibility Of Medical Expenses,1976,,2315000000.0,2315000000.0,1790300000000.0,0.2951851176363305,,7842536299,7842536299,,0.13,3.20,34.02,2.43,-6.49, 
Commerce And Housing,Deductibility Of Mortgage Interest On Owner-Occupied Homes,1976,,4870000000.0,4870000000.0,1790300000000.0,0.2951851176363305,,16498121718,16498121718,,0.27,6.72,10.60,5.11,-15.74, 
Commerce And Housing,Deductibility Of Nonbusiness State And Local Taxes Other Than On Owner-Occupied Homes,1976,,7255000000.0,7255000000.0,1790300000000.0,0.2951851176363305,,24577797343,24577797343,,0.41,10.02,15.78,7.61,-20.09, 
Transportation,Deductibility Of Nonbusiness State Gasoline Taxes,1976,,710000000.0,710000000.0,1790300000000.0,0.2951851176363305,,2405270312,2405270312,,0.04,0.98,89.31,0.74,-19.03, 
Agriculture,Deductibility Of Noncash Patronage Dividends And Certain Other Items Of Cooperatives,1976,410000000.0,-155000000.0,255000000.0,1790300000000.0,0.2951851176363305,1388958913,-525094223,863864690,1.79,0.01,-0.21,22.77,0.27,,Exclusion Of Certain Income Of Cooperatives
Commerce And Housing,Deductibility Of State And Local Property Tax On Owner-Occupied Homes,1976,,4030000000.0,4030000000.0,1790300000000.0,0.2951851176363305,,13652449799,13652449799,,0.23,5.56,8.77,4.23,-16.44,Deductibility Of Property Taxes On Owneroccupied Homes
Commerce And Housing,Deferral Of Capital Gains On Home Sales,1976,,845000000.0,845000000.0,1790300000000.0,0.2951851176363305,,2862610442,2862610442,,0.05,1.17,1.84,0.89,-1.84, 
International Affairs,Deferral Of Income Of Domestic International Sales Corporations (Disc),1976,1220000000.0,,1220000000.0,1790300000000.0,0.2951851176363305,4132999691,,4132999691,5.32,0.07,,83.85,1.28,0.96, 
Interest,Deferral Of Interest On Us Savings Bonds,1976,,550000000.0,550000000.0,1790300000000.0,0.2951851176363305,,1863237566,1863237566,,0.03,0.76,100.00,0.58,-2.03,Deferral Of Interest On Savings Bonds
Transportation,Deferral Of Tax On Shipping Companies,1976,110000000.0,,110000000.0,1790300000000.0,0.2951851176363305,372647513,,372647513,0.48,0.01,,13.84,0.12,46.95, 
Commerce And Housing,Depreciation On Buildings (Other Than Rental Housing) In Excess Of Straight Line,1976,225000000.0,200000000.0,425000000.0,1790300000000.0,0.2951851176363305,762233550,677540933,1439774483,0.98,0.02,0.28,0.92,0.45,-9.68,Depreciation On Buildings In Excess Of Straight Line: Other
Commerce And Housing,Depreciation On Rental Housing In Excess Of Straight Line,1976,100000000.0,405000000.0,505000000.0,1790300000000.0,0.2951851176363305,338770466,1372020389,1710790856,0.44,0.03,0.56,1.10,0.53,-9.18,Depreciation On Buildings In Excess Of Straight Line: Rental Housing
Commerce And Housing,Dividend Exclusion,1976,,430000000.0,430000000.0,1790300000000.0,0.2951851176363305,,1456713006,1456713006,,0.02,0.59,0.94,0.45,27.65, 
Income Security,Earned Income Tax Credit,1976,,220000000.0,220000000.0,1790300000000.0,0.2951851176363305,,745295026,745295026,,0.01,0.30,1.32,0.23,,Earned Income Credit
Commerce And Housing,Excess Bad Debt Reserves Of Financial Institutions,1976,485000000.0,,485000000.0,1790300000000.0,0.2951851176363305,1643036762,,1643036762,2.11,0.03,,1.06,0.51,-48.46,Financial Institutions: Excess Bad Debt Reserves
Commerce And Housing,Excess First-Year Depreciation,1976,40000000.0,140000000.0,180000000.0,1790300000000.0,0.2951851176363305,135508187,474278653,609786840,0.17,0.01,0.19,0.39,0.19,-38.79, 
Energy,Excess Of Percentage Over Cost Depletion,1976,1010000000.0,285000000.0,1295000000.0,1790300000000.0,0.2951851176363305,3421581711,965495829,4387077541,4.40,0.07,0.39,60.23,1.36,-51.07, 
Income Security,Excess Of Percentage Standard Deduction Over Minimum Standard Deduction,1976,,1140000000.0,1140000000.0,1790300000000.0,0.2951851176363305,,3861983318,3861983318,,0.06,1.57,6.82,1.20,-23.03,Excess Of Percentage Standard Deduction Over Low Income Allowance
National Defense,Exclusion Of Benefits And Allowances To Armed Forces Personnel,1976,,1020000000.0,1020000000.0,1790300000000.0,0.2951851176363305,,3455458758,3455458758,,0.06,1.41,100.00,1.07,46.74, 
Income Security,Exclusion Of Capital Gains On Home Sales For Persons Age 65 And Over,1976,,40000000.0,40000000.0,1790300000000.0,0.2951851176363305,,135508187,135508187,,0.00,0.06,0.24,0.04,-6.49,Exclusion Of Capital Gain On Home Sales If Over 65
"Education, Training, Employment, And Social Services",Exclusion Of Contributions To Prepaid Legal Services Plans,1976,,,,1790300000000.0,0.2951851176363305,,,,,,,,,,Employer Contributions To Prepaid Legal Expense Plans
Income Security,Exclusion Of Disability Pay,1976,,195000000.0,195000000.0,1790300000000.0,0.2951851176363305,,660602410,660602410,,0.01,0.27,1.17,0.20,-42.11,Exclusion Of Sick Pay
"Education, Training, Employment, And Social Services",Exclusion Of Employee Meals And Lodging (Other Than Military),1976,,310000000.0,310000000.0,1790300000000.0,0.2951851176363305,,1050188446,1050188446,,0.02,0.43,4.10,0.33,9.39, 
Health,Exclusion Of Employer Contributions For Medical Insurance Premiums And Medical Care,1976,,4490000000.0,4490000000.0,1790300000000.0,0.2951851176363305,,15210793945,15210793945,,0.25,6.20,65.98,4.71,28.20, 
Veterans Benefits And Services,Exclusion Of Gi Bill Benefits,1976,,305000000.0,305000000.0,1790300000000.0,0.2951851176363305,,1033249923,1033249923,,0.02,0.42,32.80,0.32,11.85, 
International Affairs,Exclusion Of Gross-Up On Dividends Of Ldc Corporations,1976,40000000.0,,40000000.0,1790300000000.0,0.2951851176363305,135508187,,135508187,0.17,0.00,,2.75,0.04,-31.99, 
International Affairs,Exclusion Of Income Earned Abroad By Us Citizens,1976,,145000000.0,145000000.0,1790300000000.0,0.2951851176363305,,491217176,491217176,,0.01,0.20,9.97,0.15,4.30, 
Commerce And Housing,Exclusion Of Interest On Life Insurance Savings,1976,,1655000000.0,1655000000.0,1790300000000.0,0.2951851176363305,,5606651220,5606651220,,0.09,2.29,3.60,1.74,0.17, 
General Purpose Fiscal Assistance,Exclusion Of Interest On Public Purpose State And Local Bonds,1976,2845000000.0,1520000000.0,4365000000.0,1790300000000.0,0.2951851176363305,9638019771,5149311091,14787330862,12.40,0.24,2.10,94.79,4.58,7.28,Exclusion Of Interest On General Purpose State And Local Debt
Natural Resources And Environment,Exclusion Of Interest On State And Local Government Pollution Control Bonds,1976,110000000.0,50000000.0,160000000.0,1790300000000.0,0.2951851176363305,372647513,169385233,542032746,0.48,0.01,0.07,28.83,0.17,36.02, 
Commerce And Housing,Exclusion Of Interest On State And Local Industrial Development Bonds,1976,150000000.0,75000000.0,225000000.0,1790300000000.0,0.2951851176363305,508155700,254077850,762233550,0.65,0.01,0.10,0.49,0.24,20.23, 
Income Security,Exclusion Of Military Disability Pensions,1976,,90000000.0,90000000.0,1790300000000.0,0.2951851176363305,,304893420,304893420,,0.01,0.12,0.54,0.09,20.23, 
Income Security,Exclusion Of Other Employee Benefits: Premiums On Accident And Disability Insurance,1976,,65000000.0,65000000.0,1790300000000.0,0.2951851176363305,,220200803,220200803,,0.00,0.09,0.39,0.07,21.57,Exclusion Of Other Employee Benefits: Premiums On Accident And Accidental Death Insurance
Income Security,Exclusion Of Other Employee Benefits: Premiums On Group Term Life Insurance,1976,,765000000.0,765000000.0,1790300000000.0,0.2951851176363305,,2591594069,2591594069,,0.04,1.06,4.58,0.80,-3.33, 
Income Security,Exclusion Of Public Assistance Benefits,1976,,95000000.0,95000000.0,1790300000000.0,0.2951851176363305,,321831943,321831943,,0.01,0.13,0.57,0.10,-15.39, 
Income Security,Exclusion Of Railroad Retirement System Benefits,1976,,190000000.0,190000000.0,1790300000000.0,0.2951851176363305,,643663886,643663886,,0.01,0.26,1.14,0.20,4.51, 
"Education, Training, Employment, And Social Services",Exclusion Of Scholarship And Fellowship Income,1976,,195000000.0,195000000.0,1790300000000.0,0.2951851176363305,,660602410,660602410,,0.01,0.27,2.58,0.20,-8.83, 
Social Security,Exclusion Of Social Security Benefits: Social Security Benefits For Disabled Workers,1976,,330000000.0,330000000.0,1790300000000.0,0.2951851176363305,,1117942539,1117942539,,0.02,0.46,8.92,0.35,12.22,Exlcusion Of Social Security Benefits: Disability Insurnace Benefits
Social Security,Exclusion Of Social Security Benefits: Social Security Benefits For Retired Workers,1976,,2725000000.0,2725000000.0,1790300000000.0,0.2951851176363305,,9231495212,9231495212,,0.15,3.76,73.65,2.86,-7.00,Exlcusion Of Social Security Benefits: Oasi Benefits For Aged
Social Security,"Exclusion Of Social Security Benefits: Social Security Benefits For Spouses, Dependents And Survivors",1976,,645000000.0,645000000.0,1790300000000.0,0.2951851176363305,,2185069509,2185069509,,0.04,0.89,17.43,0.68,34.03,Exlcusion Of Social Security Benefits: Benefits For Dependents And Survivors
Income Security,Exclusion Of Special Benefits For Disabled Coal Miners,1976,,50000000.0,50000000.0,1790300000000.0,0.2951851176363305,,169385233,169385233,,0.00,0.07,0.30,0.05,-6.49, 
Income Security,Exclusion Of Unemployment Insurance Benefits,1976,,3335000000.0,3335000000.0,1790300000000.0,0.2951851176363305,,11297995057,11297995057,,0.19,4.60,19.95,3.50,35.59, 
Veterans Benefits And Services,Exclusion Of Veterans Death Benefits And Disability Compensation,1976,,595000000.0,595000000.0,1790300000000.0,0.2951851176363305,,2015684276,2015684276,,0.03,0.82,63.98,0.62,3.04,Exclusion Of Veterans Disability Compensation
Veterans Benefits And Services,Exclusion Of Veterans Pensions,1976,,30000000.0,30000000.0,1790300000000.0,0.2951851176363305,,101631140,101631140,,0.00,0.04,3.23,0.03,12.22, 
Income Security,Exclusion Of Workers' Compensation Benefits,1976,,590000000.0,590000000.0,1790300000000.0,0.2951851176363305,,1998745752,1998745752,,0.03,0.81,3.53,0.62,9.25,Exclusion Of Workmen'S Compensation Benefits.........
Commerce And Housing,Exemption Of Credit Union Income,1976,145000000.0,,145000000.0,1790300000000.0,0.2951851176363305,491217176,,491217176,0.63,0.01,,0.32,0.15,17.91, 
Agriculture,Expensing Of Certain Capital Outlays,1976,85000000.0,455000000.0,540000000.0,1790300000000.0,0.2951851176363305,287954897,1541405622,1829360519,0.37,0.03,0.63,48.21,0.57,-17.22, 
Commerce And Housing,Expensing Of Construction Period Interest And Taxes,1976,415000000.0,215000000.0,630000000.0,1790300000000.0,0.2951851176363305,1405897436,728356503,2134253939,1.81,0.04,0.30,1.37,0.66,-60.98, 
"Education, Training, Employment, And Social Services",Expensing Of Costs Of Removing Certain Architectural Barriers To The Handicapped,1976,,,,1790300000000.0,0.2951851176363305,,,,,,,,,,Expensing Of Removal Of Architectural Barriers To The Handicapped
Energy,Expensing Of Exploration And Development Costs,1976,640000000.0,160000000.0,800000000.0,1790300000000.0,0.2951851176363305,2168130985,542032746,2710163732,2.79,0.04,0.22,37.21,0.84,20.66, 
